playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
fordma01,2003,1,MIL,NL,25,7,0,1,1,0,0,1,0,0,1,3,0,0,0,0,0
garcida03,2003,1,NYN,NL,19,56,5,12,2,0,2,6,0,0,2,11,0,3,1,1,2
gaudich01,2003,1,TBA,AL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
germafr01,2003,1,DET,AL,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gobblji01,2003,1,KCA,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gomesjo01,2003,1,TBA,AL,8,15,1,2,1,0,0,0,0,0,0,6,0,1,0,0,0
gonzaed01,2003,1,ARI,NL,9,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
halljo03,2003,1,CIN,NL,6,6,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0
harderi01,2003,1,OAK,AL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harenda01,2003,1,SLN,NL,15,25,0,2,2,0,0,1,0,0,1,10,0,1,1,0,1
hensodr01,2003,1,NYA,AL,5,8,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0
infanom01,2003,1,DET,AL,69,221,24,49,6,1,0,8,6,3,18,37,0,0,3,2,1
izturce01,2003,1,LAN,NL,158,558,47,140,21,6,1,40,10,5,25,70,8,0,7,3,8
jacksed01,2003,1,LAN,NL,4,6,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0
kearnau01,2003,1,CIN,NL,82,292,39,77,11,0,15,58,5,2,41,68,1,5,0,0,7
langery01,2003,1,ATL,NL,16,15,2,4,0,0,0,0,0,0,0,6,0,0,0,0,1
ledezwi01,2003,1,DET,AL,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lindeto01,2003,1,SFN,NL,18,38,2,8,1,0,1,6,0,0,1,8,0,0,0,0,2
lopezfe01,2003,1,CIN,NL,59,197,28,42,7,2,2,13,8,5,28,59,1,1,2,1,2
lowryno01,2003,1,SFN,NL,4,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
machaan01,2003,1,PHI,NL,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
madsory01,2003,1,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martilu01,2003,1,MIL,NL,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
mccluse01,2003,1,TBA,AL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mitrese01,2003,1,CHN,NL,3,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
morneju01,2003,1,MIN,AL,40,106,14,24,4,0,4,16,0,0,9,30,1,0,0,0,4
myersbr01,2003,1,PHI,NL,33,62,3,9,1,0,0,1,0,0,2,18,0,0,5,0,1
nivarra01,2003,1,TEX,AL,28,90,9,19,1,2,0,7,4,2,4,10,0,1,2,0,1
nixla01,2003,1,TEX,AL,53,184,25,47,10,0,8,30,3,0,9,53,0,0,1,1,1
olmedra01,2003,1,CIN,NL,79,230,24,55,6,1,0,17,1,1,13,46,0,0,7,0,4
peavyja01,2003,1,SDN,NL,32,55,4,4,0,0,0,1,0,0,3,21,0,2,8,0,0
