yearID,round,playerID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
2005,NLDS1,peavyja01,SDN,NL,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2005,NLDS1,pujolal01,SLN,NL,3,9,4,5,2,0,0,2,0,0,4,0,3,0,0,0,1
2005,NLDS1,thompbr01,SLN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,NLDS2,betemwi01,ATL,NL,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,NLDS2,burkech01,HOU,NL,3,3,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0
2005,NLDS2,devinjo01,ATL,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,NLDS2,francje02,ATL,NL,4,17,2,4,1,1,0,1,0,0,2,4,1,1,1,0,1
2005,NLDS2,johnske05,ATL,NL,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2005,NLDS2,langery01,ATL,NL,4,12,1,4,1,0,0,0,1,0,3,3,1,1,0,0,0
2005,NLDS2,mcbrima01,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,NLDS2,mccanbr01,ATL,NL,3,16,2,3,0,0,2,5,0,0,0,6,0,0,0,0,0
2005,NLDS2,taverwi01,HOU,NL,4,14,2,5,1,0,0,0,0,0,1,1,0,0,1,0,0
2005,WS,cottsne01,CHA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,WS,jenksbo01,CHA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,WS,burkech01,HOU,NL,4,5,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0
2005,WS,taverwi01,HOU,NL,4,15,2,5,2,1,0,0,1,0,0,3,0,2,2,0,0
2006,ALCS,grandcu01,DET,AL,4,15,4,5,2,0,1,2,1,0,4,2,0,0,0,0,0
2006,ALCS,infanom01,DET,AL,1,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
2006,ALCS,kigerma01,OAK,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,ALCS,swishni01,OAK,AL,4,10,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0
2006,ALDS1,cabreme01,NYA,AL,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,ALDS1,canoro01,NYA,AL,4,15,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2006,ALDS1,grandcu01,DET,AL,4,17,3,5,0,1,2,5,1,0,0,1,0,0,0,1,0
2006,ALDS2,mauerjo01,MIN,AL,3,11,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
2006,ALDS2,morneju01,MIN,AL,3,12,3,5,1,0,2,2,0,0,0,0,0,0,0,0,0
2006,ALDS2,swishni01,OAK,AL,3,10,3,3,2,0,0,1,0,0,2,2,0,0,0,0,0
2006,NLCS,duncach01,SLN,NL,5,8,1,1,0,0,1,1,0,0,0,2,0,0,0,0,1
2006,NLCS,hernaan01,NYN,NL,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,NLCS,johnsty01,SLN,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NLCS,mainejo01,NYN,NL,2,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
2006,NLCS,molinya01,SLN,NL,7,23,2,8,1,0,2,6,0,0,3,2,0,0,0,0,0
2006,NLCS,perezol01,NYN,NL,2,5,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
2006,NLCS,pujolal01,SLN,NL,7,22,5,7,1,0,1,1,0,0,7,3,4,0,0,0,0
2006,NLCS,reyesan01,SLN,NL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NLCS,reyesjo01,NYN,NL,7,32,5,9,1,1,1,2,2,0,1,3,0,0,0,0,0
2006,NLCS,thompbr01,SLN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NLCS,wainwad01,SLN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NLCS,wrighda03,NYN,NL,7,25,2,4,1,0,1,2,0,0,4,4,1,0,0,0,0
2006,NLDS1,betemwi01,LAN,NL,3,8,3,4,1,0,1,1,0,0,2,1,1,0,0,0,0
2006,NLDS1,billich01,LAN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NLDS1,broxtjo01,LAN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NLDS1,ethiean01,LAN,NL,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NLDS1,kuoho01,LAN,NL,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,NLDS1,loneyja01,LAN,NL,1,4,0,3,0,0,0,3,0,0,1,0,0,0,0,0,1
2006,NLDS1,mainejo01,NYN,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,NLDS1,martiru01,LAN,NL,3,12,2,4,0,0,0,0,0,0,1,2,0,0,0,0,0
2006,NLDS1,repkoja01,LAN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NLDS1,reyesjo01,NYN,NL,3,12,2,2,0,0,0,3,1,1,2,2,1,0,0,0,0
2006,NLDS1,wrighda03,NYN,NL,3,12,1,4,2,0,0,4,0,0,1,4,0,0,0,0,0
2006,NLDS2,barfijo02,SDN,NL,4,8,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0
2006,NLDS2,bowenro01,SDN,NL,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NLDS2,duncach01,SLN,NL,2,6,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0
2006,NLDS2,gonzaad01,SDN,NL,4,14,2,5,0,0,0,0,0,0,3,3,0,0,0,0,0
2006,NLDS2,johnsty01,SLN,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NLDS2,meredcl01,SDN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NLDS2,molinya01,SLN,NL,4,13,0,4,1,0,0,1,0,1,0,2,0,0,0,0,2
2006,NLDS2,peavyja01,SDN,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,NLDS2,pujolal01,SLN,NL,4,15,3,5,1,0,1,3,0,0,1,4,0,0,0,0,2
2006,NLDS2,thompbr01,SLN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NLDS2,wainwad01,SLN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,WS,bondeje01,DET,AL,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2006,WS,grandcu01,DET,AL,5,21,1,2,1,0,0,0,0,0,1,7,0,0,0,0,1
2006,WS,infanom01,DET,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,WS,ledezwi01,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,WS,minerza01,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,WS,verlaju01,DET,AL,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,WS,zumayjo01,DET,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,WS,duncach01,SLN,NL,3,8,1,1,1,0,0,1,0,0,2,3,0,0,0,0,1
2006,WS,johnsty01,SLN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,WS,molinya01,SLN,NL,5,17,3,7,2,0,0,1,0,0,3,1,1,0,0,0,0
2006,WS,pujolal01,SLN,NL,5,15,3,3,1,0,1,2,0,1,5,3,1,1,0,0,0
2006,WS,wainwad01,SLN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,ALCS,barfijo02,CLE,AL,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,ALCS,cabreas01,CLE,AL,7,29,2,7,0,0,0,4,0,0,1,8,0,0,0,1,0
2007,ALCS,ellsbja01,BOS,AL,5,8,3,2,0,0,0,1,1,0,1,1,1,0,0,0,0
2007,ALCS,garkory01,CLE,AL,6,24,4,7,2,1,0,2,0,0,0,5,0,1,0,0,0
2007,ALCS,gutiefr01,CLE,AL,6,19,3,4,0,0,1,4,0,0,3,6,0,0,0,0,1
2007,ALCS,pedrodu01,BOS,AL,7,29,8,10,3,0,1,5,0,0,3,5,0,0,1,0,1
2007,ALCS,peraljh01,CLE,AL,7,27,4,7,2,0,2,8,0,0,1,8,0,0,0,1,1
2007,ALCS,shoppke01,CLE,AL,1,3,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0
2007,ALCS,sizemgr01,CLE,AL,7,27,6,6,2,0,1,2,1,0,4,5,1,0,0,1,1
2007,ALDS1,aybarer01,LAA,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,ALDS1,ellsbja01,BOS,AL,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,ALDS1,izturma01,LAA,AL,3,12,1,4,2,0,0,0,2,0,0,2,0,0,0,0,0
2007,ALDS1,kendrho01,LAA,AL,3,10,0,2,0,0,0,1,2,0,0,1,0,0,0,1,1
2007,ALDS1,kotchca01,LAA,AL,2,5,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
2007,ALDS1,mathije01,LAA,AL,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2007,ALDS1,moralke01,LAA,AL,3,9,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2007,ALDS1,napolmi01,LAA,AL,3,6,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2007,ALDS1,pedrodu01,BOS,AL,3,13,2,2,2,0,0,1,0,0,1,2,0,0,0,0,0
2007,ALDS1,willire03,LAA,AL,3,4,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
2007,ALDS2,cabreas01,CLE,AL,4,17,3,3,0,0,1,2,0,0,1,4,0,0,3,0,2
2007,ALDS2,cabreme01,NYA,AL,4,16,2,3,0,0,1,2,0,0,0,1,0,0,0,0,0
2007,ALDS2,canoro01,NYA,AL,4,15,3,5,1,0,2,3,0,1,1,1,0,0,0,0,1
2007,ALDS2,garkory01,CLE,AL,3,11,3,4,0,0,1,3,0,0,1,1,0,2,0,0,1
2007,ALDS2,gutiefr01,CLE,AL,4,10,2,2,0,0,0,0,0,0,2,5,0,0,0,0,0
2007,ALDS2,peraljh01,CLE,AL,4,15,2,7,3,0,0,2,1,0,4,3,0,0,0,0,1
2007,ALDS2,sardibr01,NYA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,ALDS2,shoppke01,CLE,AL,1,3,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2007,ALDS2,sizemgr01,CLE,AL,4,16,3,6,0,1,1,1,1,1,4,4,2,1,0,0,1
2007,NLCS,bakerje03,COL,NL,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,NLCS,callaal01,ARI,NL,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLCS,corpama01,COL,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLCS,drewst01,ARI,NL,4,17,2,5,0,0,0,0,0,0,1,2,0,0,0,0,1
2007,NLCS,francje01,COL,NL,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2007,NLCS,hollima01,COL,NL,4,15,3,5,0,0,2,4,0,0,1,6,0,1,0,0,0
2007,NLCS,jacksco01,ARI,NL,3,9,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1
2007,NLCS,jimenub01,COL,NL,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2007,NLCS,montemi01,ARI,NL,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLCS,moralfr01,COL,NL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLCS,nippedu01,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLCS,owingmi01,ARI,NL,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,NLCS,penato03,ARI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLCS,reynoma01,ARI,NL,4,16,1,2,0,0,1,1,0,0,0,5,0,1,0,0,0
2007,NLCS,salazje01,ARI,NL,4,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,NLCS,slatedo01,ARI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLCS,smithse01,COL,NL,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0
2007,NLCS,snydech02,ARI,NL,3,12,1,4,2,0,1,3,0,0,1,4,0,0,0,0,1
2007,NLCS,taverwi01,COL,NL,4,18,3,3,1,0,0,1,1,0,2,5,0,0,0,0,0
2007,NLCS,tulowtr01,COL,NL,4,16,1,3,0,0,0,0,0,0,1,5,0,0,0,0,1
2007,NLCS,uptonju01,ARI,NL,4,9,0,2,1,1,0,0,0,0,0,3,0,2,0,0,0
2007,NLCS,youngch04,ARI,NL,4,14,1,4,1,0,0,1,0,2,4,5,0,1,0,0,0
2007,NLDS1,cedenro02,CHN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLDS1,drewst01,ARI,NL,3,14,4,7,1,1,2,4,1,0,0,5,0,0,0,0,0
2007,NLDS1,fontemi01,CHN,NL,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,NLDS1,hartke01,CHN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLDS1,hillri01,CHN,NL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLDS1,jacksco01,ARI,NL,3,8,0,1,1,0,0,1,0,0,0,3,0,0,0,1,0
2007,NLDS1,marmoca01,CHN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLDS1,montemi01,ARI,NL,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007,NLDS1,murtoma01,CHN,NL,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLDS1,penato03,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLDS1,piefe01,CHN,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,NLDS1,reynoma01,ARI,NL,3,10,2,2,0,0,1,1,0,0,2,4,0,0,0,0,0
2007,NLDS1,salazje01,ARI,NL,2,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
2007,NLDS1,snydech02,ARI,NL,3,7,2,1,0,0,0,0,0,0,1,2,0,0,0,0,2
2007,NLDS1,sotoge01,CHN,NL,2,6,1,1,0,0,1,2,0,0,2,1,0,0,0,0,0
2007,NLDS1,uptonju01,ARI,NL,2,5,2,3,0,0,0,1,1,0,3,0,0,0,0,0,0
2007,NLDS1,youngch04,ARI,NL,3,11,3,3,0,0,2,4,1,0,3,8,0,0,0,0,0
2007,NLDS1,zambrca01,CHN,NL,1,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
2007,NLDS2,bakerje03,COL,NL,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2007,NLDS2,bournmi01,PHI,NL,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLDS2,corpama01,COL,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLDS2,francje01,COL,NL,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2007,NLDS2,hamelco01,PHI,NL,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLDS2,hollima01,COL,NL,3,13,2,3,0,0,2,3,0,0,0,3,0,0,0,0,0
2007,NLDS2,jimenub01,COL,NL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2007,NLDS2,kendrky01,PHI,NL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLDS2,moralfr01,COL,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,NLDS2,myersbr01,PHI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLDS2,smithse01,COL,NL,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NLDS2,tulowtr01,COL,NL,3,12,1,2,1,0,1,2,0,1,1,5,0,0,0,0,0
2007,NLDS2,victosh01,PHI,NL,3,9,2,2,0,0,1,1,1,0,0,1,0,0,0,0,0
2007,WS,delcama01,BOS,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,WS,ellsbja01,BOS,AL,4,16,4,7,4,0,0,3,1,0,2,2,0,0,0,0,0
2007,WS,lestejo01,BOS,AL,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,WS,matsuda01,BOS,AL,1,3,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0
2007,WS,papeljo01,BOS,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,WS,pedrodu01,BOS,AL,4,18,2,5,1,0,1,4,0,0,2,0,0,0,0,0,1
2007,WS,bakerje03,COL,NL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,WS,corpama01,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,WS,hollima01,COL,NL,4,17,1,5,0,0,1,3,0,0,0,3,0,0,0,0,1
2007,WS,moralfr01,COL,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,WS,smithse01,COL,NL,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,WS,taverwi01,COL,NL,3,8,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0
2007,WS,tulowtr01,COL,NL,4,13,1,3,2,0,0,1,0,0,2,5,0,0,0,0,0
