playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
cottsne01,2005,WS,CHA,AL,1,0,4,0,0,0,0,4,1,0,0,1,2,0.2,,0,0,0,0,6,1,0,0,0,0
jenksbo01,2005,WS,CHA,AL,0,0,4,0,0,0,2,15,3,2,0,2,7,0.17,3.6,0,0,1,0,21,2,2,1,0,0
bondeje01,2006,ALCS,DET,AL,0,0,1,1,0,0,0,20,6,3,1,2,3,0.23,4.05,0,1,0,0,28,0,3,0,0,0
ledezwi01,2006,ALCS,DET,AL,1,0,2,0,0,0,0,8,2,1,1,1,1,0.2,3.38,0,0,0,0,11,1,1,0,0,0
verlaju01,2006,ALCS,DET,AL,1,0,1,1,0,0,0,16,7,4,2,1,6,0.3,6.75,0,1,0,1,24,0,4,0,0,0
zumayjo01,2006,ALCS,DET,AL,0,0,1,0,0,0,0,3,1,1,0,0,0,0.25,9,0,0,0,0,4,0,1,0,0,0
blantjo01,2006,ALCS,OAK,AL,0,0,1,0,0,0,0,6,0,0,0,2,2,0,0,0,0,0,0,8,1,0,0,0,0
gaudich01,2006,ALCS,OAK,AL,0,0,3,0,0,0,0,10,2,0,0,3,1,0.18,0,1,0,0,0,15,0,0,1,0,0
harderi01,2006,ALCS,OAK,AL,0,1,1,1,0,0,0,17,5,3,1,5,4,0.23,4.76,0,0,0,0,26,0,3,0,0,1
harenda01,2006,ALCS,OAK,AL,0,0,1,1,0,0,0,15,7,3,1,2,7,0.33,5.4,0,2,0,0,23,0,3,0,0,0
streehu01,2006,ALCS,OAK,AL,0,1,2,0,0,0,0,10,4,4,2,0,3,0.3,10.8,0,0,0,0,13,2,4,0,0,1
bondeje01,2006,ALDS1,DET,AL,1,0,1,1,0,0,0,25,5,2,0,1,4,0.16,2.16,0,0,0,0,31,0,2,0,0,0
verlaju01,2006,ALDS1,DET,AL,0,0,1,1,0,0,0,16,7,3,1,4,5,0.31,5.06,0,0,0,0,26,0,3,0,0,1
zumayjo01,2006,ALDS1,DET,AL,0,0,2,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0
brunebr01,2006,ALDS1,NYA,AL,0,0,3,0,0,0,0,8,1,1,1,0,4,0.12,3.38,0,0,0,0,9,1,1,0,1,0
wangch01,2006,ALDS1,NYA,AL,1,0,1,1,0,0,0,20,8,3,1,1,4,0.3,4.05,0,0,0,0,27,0,3,0,0,1
bonsebo01,2006,ALDS2,MIN,AL,0,0,1,1,0,0,0,18,7,2,0,1,3,0.29,3,0,0,0,0,25,0,2,0,0,1
crainje01,2006,ALDS2,MIN,AL,0,0,2,0,0,0,0,3,3,1,1,1,1,0.42,9,0,0,0,0,8,0,3,0,0,0
neshepa01,2006,ALDS2,MIN,AL,0,1,2,0,0,0,0,3,1,1,0,0,1,0.25,9,0,0,0,0,4,1,1,0,0,0
perkigl01,2006,ALDS2,MIN,AL,0,0,1,0,0,0,0,1,2,0,0,0,0,0.66,0,0,0,0,0,3,0,0,0,0,0
harenda01,2006,ALDS2,OAK,AL,1,0,1,1,0,0,0,18,9,2,1,1,2,0.37,3,0,0,0,0,26,0,2,1,0,1
streehu01,2006,ALDS2,OAK,AL,0,0,3,0,0,0,2,9,4,1,0,1,1,0.33,3,0,0,0,0,13,3,1,0,0,1
mainejo01,2006,NLCS,NYN,NL,1,0,2,2,0,0,0,28,4,3,1,9,8,0.12,2.89,1,0,1,0,43,0,4,0,0,0
perezol01,2006,NLCS,NYN,NL,1,0,2,2,0,0,0,35,13,6,3,3,7,0.29,4.63,1,0,1,0,50,0,6,2,0,2
johnsty01,2006,NLCS,SLN,NL,0,0,4,0,0,0,0,11,2,1,0,1,5,0.14,2.45,0,0,1,0,16,1,1,0,0,0
reyesan01,2006,NLCS,SLN,NL,0,0,1,1,0,0,0,12,3,2,2,4,4,0.2,4.5,0,0,0,0,19,0,2,0,0,0
thompbr01,2006,NLCS,SLN,NL,0,1,2,0,0,0,0,2,3,2,1,0,1,0.5,27,0,0,0,0,6,0,3,0,0,0
wainwad01,2006,NLCS,SLN,NL,0,0,3,0,0,0,2,9,2,0,0,1,4,0.18,0,0,0,0,0,12,3,0,0,0,0
billich01,2006,NLDS1,LAN,NL,0,0,2,0,0,0,0,6,1,0,0,0,3,0.16,0,0,0,0,0,6,0,0,0,0,1
broxtjo01,2006,NLDS1,LAN,NL,0,1,2,0,0,0,0,6,5,3,0,2,3,0.41,13.5,0,0,0,0,14,1,3,0,0,0
kuoho01,2006,NLDS1,LAN,NL,0,1,1,1,0,0,0,13,4,2,0,2,4,0.25,4.15,1,1,0,0,19,0,2,1,0,0
mainejo01,2006,NLDS1,NYN,NL,0,0,1,1,0,0,0,13,6,1,0,2,5,0.37,2.08,1,0,0,0,19,0,1,1,0,0
meredcl01,2006,NLDS2,SDN,NL,0,0,2,0,0,0,0,11,3,0,0,0,3,0.23,0,0,0,1,0,15,0,2,1,0,1
peavyja01,2006,NLDS2,SDN,NL,0,1,1,1,0,0,0,16,11,5,1,1,2,0.47,8.44,1,0,0,0,26,0,5,1,1,1
johnsty01,2006,NLDS2,SLN,NL,0,0,4,0,0,0,0,8,2,0,0,1,6,0.2,0,0,0,1,0,12,0,0,0,0,0
thompbr01,2006,NLDS2,SLN,NL,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0
wainwad01,2006,NLDS2,SLN,NL,0,0,3,0,0,0,1,11,3,0,0,0,6,0.21,0,0,0,0,0,14,3,0,0,0,0
bondeje01,2006,WS,DET,AL,0,0,1,1,0,0,0,16,6,2,0,4,4,0.3,3.38,1,0,0,0,25,0,2,1,0,1
ledezwi01,2006,WS,DET,AL,0,0,2,0,0,0,0,4,2,0,0,0,1,0.33,0,0,0,0,0,6,0,0,0,0,0
minerza01,2006,WS,DET,AL,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1
verlaju01,2006,WS,DET,AL,0,2,2,2,0,0,0,33,12,7,2,5,12,0.27,5.73,0,2,0,0,50,0,10,1,0,0
zumayjo01,2006,WS,DET,AL,0,1,3,0,0,0,0,9,1,1,0,3,3,0.09,3,0,1,0,0,14,2,3,0,0,0
johnsty01,2006,WS,SLN,NL,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
