playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
crawfca02,2003,1,TBA,AL,OF,146,,3786,352,10,3,1,,,,,
crosbbo01,2003,1,OAK,AL,SS,9,,60,5,11,2,2,,,,,
cruzen01,2003,1,MIL,NL,2B,6,,66,3,7,0,0,,,,,
cruzen01,2003,1,MIL,NL,3B,2,,21,0,2,1,0,,,,,
cruzen01,2003,1,MIL,NL,SS,13,,216,8,20,0,3,,,,,
davisja02,2003,1,CLE,AL,P,27,,495,10,26,6,4,,,,,
dominju01,2003,1,TEX,AL,P,6,,48,0,1,0,0,,,,,
foppeje01,2003,1,SFN,NL,P,23,,333,3,13,1,0,,,,,
fordma01,2003,1,MIL,NL,P,25,,132,2,5,1,1,,,,,
garcida03,2003,1,NYN,NL,2B,17,,393,36,40,4,9,,,,,
garcida03,2003,1,NYN,NL,LF,1,,,,,,,,,,,
garcida03,2003,1,NYN,NL,OF,1,,3,0,0,0,0,,,,,
gaudich01,2003,1,TBA,AL,P,15,,120,4,2,0,0,,,,,
germafr01,2003,1,DET,AL,P,45,,135,1,5,0,1,,,,,
gobblji01,2003,1,KCA,AL,P,9,,159,3,4,0,0,,,,,
gonzaed01,2003,1,ARI,NL,P,9,,54,1,3,0,0,,,,,
halljo03,2003,1,CIN,NL,P,6,,75,4,1,0,0,,,,,
harderi01,2003,1,OAK,AL,P,15,,225,5,11,1,3,,,,,
harenda01,2003,1,SLN,NL,P,14,,219,3,5,0,0,,,,,
hensodr01,2003,1,NYA,AL,3B,3,,51,4,3,0,0,,,,,
infanom01,2003,1,DET,AL,2B,2,,39,3,3,0,2,,,,,
infanom01,2003,1,DET,AL,3B,4,,81,1,8,1,1,,,,,
infanom01,2003,1,DET,AL,SS,63,,1578,117,211,13,53,,,,,
izturce01,2003,1,LAN,NL,SS,158,,4095,198,481,16,94,,,,,
jacksed01,2003,1,LAN,NL,P,4,,66,0,3,0,0,,,,,
kearnau01,2003,1,CIN,NL,CF,40,,,,,,,,,,,
kearnau01,2003,1,CIN,NL,OF,80,,2070,199,5,2,0,,,,,
kearnau01,2003,1,CIN,NL,RF,51,,,,,,,,,,,
langery01,2003,1,ATL,NL,CF,4,,,,,,,,,,,
langery01,2003,1,ATL,NL,LF,3,,,,,,,,,,,
langery01,2003,1,ATL,NL,OF,14,,135,12,1,0,0,,,,,
langery01,2003,1,ATL,NL,RF,9,,,,,,,,,,,
ledezwi01,2003,1,DET,AL,P,34,,252,4,7,0,0,,,,,
lindeto01,2003,1,SFN,NL,LF,9,,,,,,,,,,,
lindeto01,2003,1,SFN,NL,OF,13,,219,13,0,1,0,,,,,
lindeto01,2003,1,SFN,NL,RF,6,,,,,,,,,,,
lopezfe01,2003,1,CIN,NL,2B,3,,75,3,4,1,1,,,,,
lopezfe01,2003,1,CIN,NL,3B,8,,96,3,4,0,0,,,,,
lopezfe01,2003,1,CIN,NL,SS,50,,1191,60,132,15,20,,,,,
lowryno01,2003,1,SFN,NL,P,4,,18,0,1,0,0,,,,,
madsory01,2003,1,PHI,NL,P,1,,6,0,0,0,0,,,,,
martilu01,2003,1,MIL,NL,P,4,,48,0,3,0,0,,,,,
mccluse01,2003,1,TBA,AL,P,12,,117,2,3,0,1,,,,,
mitrese01,2003,1,CHN,NL,P,3,,27,0,3,0,0,,,,,
morneju01,2003,1,MIN,AL,1B,7,,105,29,4,1,1,,,,,
myersbr01,2003,1,PHI,NL,P,32,,579,12,28,2,1,,,,,
nivarra01,2003,1,TEX,AL,CF,26,,,,,,,,,,,
nivarra01,2003,1,TEX,AL,OF,26,,654,70,3,3,1,,,,,
nixla01,2003,1,TEX,AL,CF,21,,,,,,,,,,,
nixla01,2003,1,TEX,AL,LF,5,,,,,,,,,,,
nixla01,2003,1,TEX,AL,OF,52,,1275,130,1,5,0,,,,,
nixla01,2003,1,TEX,AL,RF,37,,,,,,,,,,,
olmedra01,2003,1,CIN,NL,2B,18,,357,35,36,0,9,,,,,
olmedra01,2003,1,CIN,NL,SS,51,,1149,60,122,14,21,,,,,
