playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
pujolal01,2005,SLN,NL,NLCS,1B,6,6,156,65,1,0,3,0,,,
thompbr01,2005,SLN,NL,NLCS,P,2,0,3,0,0,0,0,0,,0,0
johnsbe02,2005,SDN,NL,NLDS1,RF,1,1,12,0,0,0,0,0,,,
peavyja01,2005,SDN,NL,NLDS1,P,1,1,13,0,2,0,0,0,,0,0
molinya01,2005,SLN,NL,NLDS1,C,3,3,81,18,0,0,0,0,0,2,0
pujolal01,2005,SLN,NL,NLDS1,1B,3,3,81,31,1,0,7,0,,,
thompbr01,2005,SLN,NL,NLDS1,P,2,0,4,0,0,0,0,0,,0,0
devinjo01,2005,ATL,NL,NLDS2,P,3,0,5,0,0,0,0,0,,0,0
francje02,2005,ATL,NL,NLDS2,RF,4,4,130,9,0,0,0,0,,,
langery01,2005,ATL,NL,NLDS2,LF,3,3,100,10,0,0,0,0,,,
mcbrima01,2005,ATL,NL,NLDS2,P,1,0,3,0,1,0,0,0,,0,0
mccanbr01,2005,ATL,NL,NLDS2,C,3,3,103,24,1,0,0,0,0,2,0
burkech01,2005,HOU,NL,NLDS2,CF,1,0,6,0,0,0,0,0,,,
burkech01,2005,HOU,NL,NLDS2,LF,2,0,21,1,0,0,0,0,,,
taverwi01,2005,HOU,NL,NLDS2,CF,4,4,96,7,0,0,0,0,,,
cottsne01,2005,CHA,AL,WS,P,4,0,4,0,0,0,0,0,,0,0
jenksbo01,2005,CHA,AL,WS,P,4,0,15,0,1,0,0,0,,1,0
burkech01,2005,HOU,NL,WS,2B,1,0,1,0,0,0,0,0,,,
burkech01,2005,HOU,NL,WS,LF,3,1,31,1,0,0,0,0,,,
taverwi01,2005,HOU,NL,WS,CF,4,4,118,8,0,0,0,0,,,
bondeje01,2006,DET,AL,ALCS,P,1,1,20,0,0,0,0,0,,0,0
grandcu01,2006,DET,AL,ALCS,CF,4,4,108,12,0,0,0,0,,,
ledezwi01,2006,DET,AL,ALCS,P,2,0,8,0,0,0,0,0,,0,0
verlaju01,2006,DET,AL,ALCS,P,1,1,16,0,0,0,0,0,,0,0
zumayjo01,2006,DET,AL,ALCS,P,1,0,3,0,1,0,0,0,,0,0
blantjo01,2006,OAK,AL,ALCS,P,1,0,6,0,0,0,0,0,,0,0
gaudich01,2006,OAK,AL,ALCS,P,3,0,10,0,2,0,0,0,,1,0
harderi01,2006,OAK,AL,ALCS,P,1,1,17,1,0,0,1,0,,1,0
harenda01,2006,OAK,AL,ALCS,P,1,1,15,0,1,0,0,0,,0,0
kigerma01,2006,OAK,AL,ALCS,2B,2,0,5,1,0,0,0,0,,,
streehu01,2006,OAK,AL,ALCS,P,2,0,10,0,1,0,0,0,,0,0
swishni01,2006,OAK,AL,ALCS,1B,4,4,104,33,1,0,3,0,,,
bondeje01,2006,DET,AL,ALDS1,P,1,1,25,0,0,0,0,0,,0,0
grandcu01,2006,DET,AL,ALDS1,CF,4,4,105,16,0,0,0,0,,,
verlaju01,2006,DET,AL,ALDS1,P,1,1,16,0,0,0,0,0,,0,0
zumayjo01,2006,DET,AL,ALDS1,P,2,0,6,0,0,0,0,0,,0,0
brunebr01,2006,NYA,AL,ALDS1,P,3,0,8,0,1,0,0,0,,0,0
cabreme01,2006,NYA,AL,ALDS1,LF,1,1,24,4,0,0,0,0,,,
canoro01,2006,NYA,AL,ALDS1,2B,4,4,102,11,8,0,3,0,,,
wangch01,2006,NYA,AL,ALDS1,P,1,1,20,0,1,0,0,0,,0,1
bonsebo01,2006,MIN,AL,ALDS2,P,1,1,18,1,1,0,0,0,,0,0
crainje01,2006,MIN,AL,ALDS2,P,2,0,3,0,0,0,0,0,,0,0
mauerjo01,2006,MIN,AL,ALDS2,C,3,3,78,19,1,0,0,0,0,0,0
morneju01,2006,MIN,AL,ALDS2,1B,3,3,78,29,2,1,2,0,,,
neshepa01,2006,MIN,AL,ALDS2,P,2,0,3,0,0,0,0,0,,0,0
perkigl01,2006,MIN,AL,ALDS2,P,1,0,1,0,0,0,0,0,,0,0
